
2024/11/14 (14:36:05) | ===> btop++ v.1.4.0
2024/11/14 (14:36:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (15:28:40) | ===> btop++ v.1.4.0
2024/11/23 (15:28:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (16:08:22) | ===> btop++ v.1.4.0
2024/11/25 (16:08:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (11:56:01) | ===> btop++ v.1.4.0
2024/11/29 (11:56:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (17:15:01) | ===> btop++ v.1.4.0
2024/12/05 (17:15:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (16:12:10) | ===> btop++ v.1.4.0
2024/12/15 (16:12:10) | WARNING: Intel GPU: Failed to initialize PMU
